first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Brandan,Wright,2015-04-07,PHO,ATL,00:28:23,4,5,0,0,0,0,1,5,6,0,0,2,2,0,8,18.5
Udonis,Haslem,2015-04-07,MIA,CHO,00:27:34,4,9,0,0,0,0,2,6,8,3,0,0,0,3,8,22.5
Manu,Ginobili,2015-04-07,SAS,OKC,00:17:54,4,8,2,4,0,0,0,4,4,2,0,0,1,1,10,18.5
Robert,Sacre,2015-04-07,LAL,LAC,00:22:19,4,6,0,0,0,0,3,3,6,0,0,0,0,3,8,15.5
Dwyane,Wade,2015-04-07,MIA,CHO,00:34:54,6,17,0,1,7,10,2,1,3,5,1,0,7,1,19,28.75
Mo,Williams,2015-04-07,CHO,MIA,00:27:53,5,17,0,4,5,5,2,3,5,4,0,0,2,3,15,26.25
Perry,Jones,2015-04-07,OKC,SAS,00:15:05,4,6,1,2,1,3,0,0,0,0,0,1,0,1,10,12.5
Arinze,Onuaku,2015-04-07,MIN,SAC,00:15:38,3,3,0,0,0,0,1,4,5,1,0,1,1,2,6,15.25
Danny,Green,2015-04-07,SAS,OKC,00:17:04,3,4,2,3,0,0,0,3,3,1,0,0,0,4,8,14.25
Ed,Davis,2015-04-07,LAL,LAC,00:22:34,3,4,0,0,1,4,1,10,11,1,0,0,2,1,7,21.25
Marreese,Speights,2015-04-07,GSW,NOP,00:13:35,4,7,0,0,0,0,2,3,5,0,0,0,0,2,8,14.25
Eric,Gordon,2015-04-07,NOP,GSW,00:33:33,4,12,2,3,1,1,1,2,3,2,1,0,1,2,11,20.25
Chris,Andersen,2015-04-07,MIA,CHO,00:12:38,2,3,0,0,2,3,0,2,2,0,0,3,1,0,6,14.0
Mitch,McGary,2015-04-07,OKC,SAS,00:18:43,3,7,0,0,0,0,4,5,9,2,0,0,2,0,6,19.25
Boris,Diaw,2015-04-07,SAS,OKC,00:26:21,3,6,0,0,0,0,1,3,4,6,0,1,3,2,6,20.5
Omer,Asik,2015-04-07,NOP,GSW,00:18:12,2,5,0,0,2,3,2,8,10,2,0,1,2,3,6,22.5
D.J.,Augustin,2015-04-07,OKC,SAS,00:21:40,2,6,1,3,0,0,0,2,2,4,1,0,0,1,5,16.0
Archie,Goodwin,2015-04-07,PHO,ATL,00:25:19,1,5,0,1,6,6,0,2,2,1,0,2,2,0,8,15.0
Gerald,Green,2015-04-07,PHO,ATL,00:22:20,6,16,2,7,1,2,0,0,0,1,0,0,1,0,15,17.0
Andre,Roberson,2015-04-07,OKC,SAS,00:18:12,2,4,1,2,0,0,1,6,7,1,2,0,2,2,5,18.75
