first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Udonis,Haslem,2015-03-29,MIA,DET,2106,8,13,0,1,2,2,7,6,13,2,1,0,2,4,18,38.25
Isaiah,Thomas,2015-03-29,BOS,LAC,1553,4,12,2,7,9,10,0,0,0,7,2,0,0,4,19,34.5
Markel,Brown,2015-03-29,BRK,LAL,2168,6,11,2,7,3,4,0,4,4,4,2,0,0,1,17,33.0
Chandler,Parsons,2015-03-29,DAL,IND,2195,11,20,2,4,3,5,1,9,10,1,0,1,3,4,27,42.5
Tiago,Splitter,2015-03-29,SAS,MEM,1757,6,9,0,0,3,3,2,6,8,2,2,0,1,1,15,31.5
James,Harden,2015-03-29,HOU,WAS,2270,7,20,1,6,9,10,0,3,3,6,2,1,3,3,24,41.75
D.J.,Augustin,2015-03-29,OKC,PHO,1896,6,9,4,5,3,3,0,1,1,3,1,0,2,3,19,27.75
Markieff,Morris,2015-03-29,PHO,OKC,1992,10,20,1,2,3,4,3,4,7,1,1,0,2,4,24,35.75
Zach,Randolph,2015-03-29,MEM,SAS,1993,9,16,0,0,2,3,2,11,13,0,0,0,1,2,20,35.75
Furkan,Aldemir,2015-03-29,PHI,CLE,1593,5,6,0,1,1,2,7,3,10,0,1,0,0,2,11,25.5
Jordan,Clarkson,2015-03-29,LAL,BRK,2127,7,14,1,3,3,4,0,6,6,7,0,0,2,3,18,35.5
James,Ennis,2015-03-29,MIA,DET,1463,5,7,2,2,4,6,3,3,6,1,0,0,1,3,16,25.5
Otto,Porter,2015-03-29,WAS,HOU,1054,4,7,2,2,5,7,3,3,6,0,1,0,1,1,15,25.0
Justin,Hamilton,2015-03-29,MIN,NOP,1395,5,6,1,1,0,0,4,1,5,0,1,1,0,1,11,21.75
Marcus,Morris,2015-03-29,PHO,OKC,2221,5,13,2,7,3,4,0,9,9,5,0,1,1,1,15,36.25
Steven,Adams,2015-03-29,OKC,PHO,2501,6,9,0,0,1,4,5,11,16,0,1,1,2,4,13,36.0
Alexis,Ajinca,2015-03-29,NOP,MIN,1363,3,6,0,0,4,4,1,7,8,3,2,3,2,3,10,33.5
George,Hill,2015-03-29,IND,DAL,2183,6,12,2,5,0,0,0,4,4,5,0,1,1,0,14,29.0
Wesley,Johnson,2015-03-29,LAL,BRK,2104,8,16,1,4,0,0,1,4,5,3,0,1,1,1,17,29.75
Timofey,Mozgov,2015-03-29,CLE,PHI,1950,6,9,0,0,2,2,5,5,10,1,0,0,2,4,14,27.0
Deron,Williams,2015-03-29,BRK,LAL,2017,5,13,1,4,2,2,0,1,1,9,3,0,3,1,13,32.75
Danny,Green,2015-03-29,SAS,MEM,1769,4,7,1,3,0,0,0,3,3,5,2,1,0,2,9,26.75
DeAndre,Jordan,2015-03-29,LAC,BOS,1756,6,8,0,0,3,15,6,8,14,0,1,0,1,4,15,34.0
