first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Taj,Gibson,2015-01-07,CHI,UTA,1817,6,10,0,0,3,4,5,1,6,1,1,0,1,1,15,25.5
James,Harden,2015-01-07,HOU,CLE,1981,6,18,2,7,7,7,2,5,7,9,1,0,7,0,21,42.75
Jordan,Hill,2015-01-07,LAL,LAC,1391,6,8,0,0,1,2,2,3,5,3,1,0,0,2,13,25.75
Michael,Kidd-Gilchrist,2015-01-07,CHO,NOP,2143,4,10,0,0,5,5,2,10,12,3,1,1,1,2,13,36.0
Matt,Barnes,2015-01-07,LAC,LAL,1800,6,12,5,10,2,2,0,3,3,1,0,1,1,1,19,28.25
Serge,Ibaka,2015-01-07,OKC,SAC,1959,5,10,1,2,0,0,3,7,10,1,0,8,1,4,11,41.0
Mike,Conley,2015-01-07,MEM,ATL,2057,7,15,2,5,1,1,2,7,9,6,3,0,5,3,17,41.75
David,West,2015-01-07,IND,GSW,2067,6,11,0,0,4,4,1,6,7,6,1,0,3,4,16,34.25
DeMarcus,Cousins,2015-01-07,SAC,OKC,2252,6,23,0,0,11,13,4,11,15,4,1,3,6,2,23,52.75
Dwight,Howard,2015-01-07,HOU,CLE,2230,6,13,0,0,5,11,10,9,19,2,0,1,4,5,17,43.75
Nikola,Vucevic,2015-01-07,ORL,DEN,2044,8,18,0,0,4,6,3,8,11,2,1,0,1,5,20,38.25
Nate,Robinson,2015-01-07,DEN,ORL,1580,1,6,1,1,10,10,1,2,3,7,0,0,1,2,13,27.25
DeAndre,Jordan,2015-01-07,LAC,LAL,1817,4,7,0,0,2,4,5,8,13,0,1,3,1,2,10,33.75
Donald,Sloan,2015-01-07,IND,GSW,1211,6,11,0,3,2,2,1,4,5,5,1,0,2,0,14,28.75
