first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Luke,Ridnour,2015-03-22,ORL,DEN,1450,2,5,0,1,0,0,0,1,1,6,1,0,0,0,4,16.25
Andrew,Wiggins,2015-03-22,MIN,CHO,2300,5,10,0,0,3,6,0,1,1,2,0,0,1,2,13,16.75
Spencer,Dinwiddie,2015-03-22,DET,BOS,958,3,5,0,1,0,0,0,3,3,4,2,2,3,3,6,22.25
Nene,Hilario,2015-03-22,WAS,SAC,1165,3,8,0,0,5,8,3,3,6,2,0,0,2,3,11,20.5
John,Wall,2015-03-22,WAS,SAC,1982,3,10,1,3,2,2,0,4,4,8,1,0,4,1,9,26.5
Wilson,Chandler,2015-03-22,DEN,ORL,1469,3,9,1,2,0,0,3,4,7,3,1,0,1,2,7,22.25
Wayne,Ellington,2015-03-22,LAL,PHI,1151,4,9,2,4,0,0,0,3,3,1,0,0,0,1,10,16.25
Langston,Galloway,2015-03-22,NYK,TOR,2303,4,14,1,6,0,0,0,2,2,7,2,0,1,2,9,26.0
Richard,Jefferson,2015-03-22,DAL,PHO,663,4,6,1,1,1,2,0,1,1,0,0,0,0,2,10,11.75
Elfrid,Payton,2015-03-22,ORL,DEN,2127,3,9,0,1,0,0,3,5,8,8,3,0,5,4,6,31.5
Ramon,Sessions,2015-03-22,WAS,SAC,1570,4,8,1,2,0,0,1,4,5,2,0,0,1,2,9,18.25
Lance,Stephenson,2015-03-22,CHO,MIN,1232,4,9,0,1,0,0,0,4,4,4,0,0,0,2,8,19.0
Jeff,Teague,2015-03-22,ATL,SAS,1707,4,8,0,0,0,0,0,1,1,6,3,0,5,0,8,21.75
Tony,Parker,2015-03-22,SAS,ATL,1792,3,6,0,0,2,2,0,1,1,5,0,0,2,1,8,15.75
T.J.,Warren,2015-03-22,PHO,DAL,1449,4,5,0,0,0,1,1,1,2,1,0,0,1,0,8,11.5
Jonas,Jerebko,2015-03-22,BOS,DET,1273,4,12,1,3,1,1,5,4,9,0,0,0,0,4,10,21.75
Derrick,Williams,2015-03-22,SAC,WAS,1062,3,6,0,0,2,3,0,3,3,3,0,1,2,0,8,17.25
Brandan,Wright,2015-03-22,PHO,DAL,1336,4,7,0,0,0,0,1,2,3,0,0,1,0,1,8,13.75
Gary,Neal,2015-03-22,MIN,CHO,1260,5,7,1,2,0,0,0,2,2,2,1,0,5,0,11,16.5
Marvin,Williams,2015-03-22,CHO,MIN,2273,3,11,1,5,1,2,4,4,8,2,0,0,0,1,8,21.5
Kenneth,Faried,2015-03-22,DEN,ORL,1499,4,12,0,0,3,4,1,4,5,1,1,0,1,1,11,20.25
Tayshaun,Prince,2015-03-22,DET,BOS,1748,3,9,2,3,1,2,0,3,3,2,1,0,0,2,9,18.75
Quincy,Pondexter,2015-03-22,NOP,LAC,2274,4,10,4,9,0,0,0,3,3,0,0,0,0,4,12,17.75
Michael,Beasley,2015-03-22,MIA,OKC,1168,5,8,0,0,0,0,0,3,3,1,0,2,3,2,10,17.75
Dwyane,Wade,2015-03-22,MIA,OKC,1880,6,15,0,1,0,2,0,2,2,4,2,0,3,0,12,23.0
Avery,Bradley,2015-03-22,BOS,DET,2272,3,10,2,6,2,2,1,3,4,4,1,0,3,3,10,22.5
Luol,Deng,2015-03-22,MIA,OKC,1655,3,7,0,2,0,0,1,3,4,3,0,0,1,0,6,15.0
Chris,Andersen,2015-03-22,MIA,OKC,1269,2,6,0,0,0,0,5,1,6,1,0,1,1,0,4,14.5
Archie,Goodwin,2015-03-22,PHO,DAL,656,2,2,1,1,0,0,0,3,3,3,0,0,1,4,5,13.25
